ThreadId	ThreadCount	Key	ResultCount	Time
0	1	2349	0	214190000
0	1	12	1001061	14226579000
0	1	18	6532	96822200
0	1	65	0	41965100
0	1	45	0	7894200
0	1	12	1001061	13803577200
0	1	12	1001061	13447801800
0	1	4718	0	12141000
0	1	733	0	47313500
0	1	616	51	11050900
0	1	1502	46	6657700
0	1	1148	6819	124668500
0	1	83	0	6316000
0	1	10425	72	5688200
0	1	3332	0	5658200
0	1	29	0	8280900
0	1	121	0	290905000
0	1	31	2493	56269700
0	1	28	0	9787900
0	1	288	3202	61307700
0	1	293	3574	75073100
0	1	12	1001061	13696393200
0	1	106	1	4041700
0	1	5319	0	7413800
0	1	4438	0	10757200
0	1	1597	0	10977000
0	1	1072	0	11442400
0	1	5420	0	11260500
0	1	32	1	8132600
0	1	19	0	13042200
0	1	856	0	238757700
0	1	547	0	23912900
0	1	54	0	11877400
0	1	241	15	7498100
0	1	845	44	6955500
0	1	16	218	11787400
0	1	137	0	9195100
0	1	12	1001061	13522745900
0	1	37	0	6531700
0	1	152	13	4637900
0	1	74	0	5392100
0	1	7449	3	3922000
0	1	153	0	5274600
0	1	68	0	11105900
0	1	167	0	7320500
0	1	3717	0	6833200
0	1	9315	982	17177600
0	1	101	0	5544400
0	1	27	0	6096300
0	1	305	0	6455300
0	1	4701	18	4293000
0	1	506	1746	26534400
0	1	300	34	3488600
0	1	20	1213787	16600204600
0	1	2324	0	6770300
0	1	220	158	53940700
0	1	4921	0	9052000
0	1	3943	11	6749200
0	1	8651	0	9012200
0	1	13	1031830	14114804600
0	1	2923	1276	29302300
0	1	13	1031830	14586853700
0	1	2607	0	10947400
0	1	25	0	8284800
0	1	18	6532	108636200
0	1	128	0	9501100
0	1	17	6948	97736900
0	1	7094	52	4474400
0	1	4721	0	6612700
0	1	2205	205	9284000
0	1	63	0	5331800
0	1	514	193	7460600
0	1	2771	1	2568600
0	1	3960	0	5018600
0	1	125	0	6592900
0	1	192	0	9030200
0	1	16	218	13380600
0	1	165	0	8386200
0	1	2897	0	10218200
0	1	113	0	10147400
0	1	6736	0	10242900
0	1	13	1031830	13678759700
0	1	284	0	10276100
0	1	185	0	46953000
0	1	3576	0	6532300
0	1	22	3791	88447800
0	1	63	0	10807500
0	1	385	102	6204600
0	1	66	6049	79356200
0	1	438	0	6344600
0	1	23	2627	41889500
0	1	20	1213787	16331827600
0	1	365	376	14698000
0	1	816	14	4746200
0	1	199	0	9334800
0	1	933	6	6689800
0	1	168	0	9005700
0	1	64	2890	50744800
0	1	26	0	5684900
0	1	1696	133	6922800
0	1	8628	0	4959700
0	1	37	0	6011900
0	1	90	0	5849300
0	1	4709	0	5989500
0	1	2145	301	8463600
0	1	516	0	5407600
0	1	204	38	4843900
0	1	278	236	6512500
0	1	55	0	5583900
0	1	165	0	6763600
0	1	16	218	17367300
0	1	8836	0	5878800
0	1	114	0	22318900
0	1	339	13	13460200
0	1	7023	0	17375800
0	1	242	644	18055600
0	1	4953	0	5358800
0	1	1303	0	13919000
0	1	42	0	129388100
0	1	738	18	9238600
0	1	625	87	10459900
0	1	4891	0	14034900
0	1	10222	61	12236800
0	1	118	0	16373100
0	1	158	0	14055100
0	1	5550	376	19462000
0	1	2254	0	5485700
0	1	4218	533	16249900
0	1	960	174	5762800
0	1	1000	318	8647800
0	1	13	1031830	13888988600
0	1	866	1593	36682400
0	1	13	1031830	13940750600
0	1	619	0	6554000
0	1	4416	0	48662500
0	1	2904	0	7130100
0	1	88	0	12165900
0	1	59	1238	24000000
0	1	38	38	3933200
0	1	15	14342	181840900
0	1	574	56	6471300
0	1	154	0	12601100
0	1	15	14342	295347300
0	1	254	55	7160100
0	1	1480	0	9559800
0	1	19	0	10401300
0	1	4545	1	6395900
0	1	1842	0	5139400
0	1	1207	0	12360900
0	1	8154	0	12139200
0	1	891	0	9705300
0	1	44	0	10762700
0	1	13	1031830	14026514300
0	1	200	48	4911100
